_id,Collection_date,forcens_lat,forcens_long,ind_area,ind_area_log,ind_diam,IRN,Lat_decimal,Long_decimal,num_neighb_300km,ocean,pp_value,rel_abund_median_300km,rel_abund_nearest,Sea_Depth_meters,species,title_abbrev,tmn_0m,total_ind,Vessel,ZF_PF_no_
3036,31/10/1957,5.433,-131.316,311020.3,12.64761,706.3407,5465610,5.43333,-131.3167,7,Pacific,555.1537,0.1386322,0.1616162,-3415,obliquiloculata,P. obliquiloculata,27.434,7,RV Spencer F. Baird,6610
3144,17/04/1891,-25.48333,110.0167,221658.1,12.30889,578.3172,5465622,-24.89167,110.3917,18,Indian,361.6253,0.008952748,0.02,-3829,obliquiloculata,P. obliquiloculata,24.117,17,HMS Penguin,6622
2996,15/02/1958,-9.883333,-110.6833,112679.5,11.6323,400.9971,5465605,-9.88333,-110.6833,6,Pacific,438.3642,0.06092783,0.05914718,-2712,obliquiloculata,P. obliquiloculata,24.774,6,RV Spencer F. Baird,6605
2009,01/02/1953,-14,-119.6,122411.2,11.71514,441.6625,5465269,-14.27333,-120.68,3,Pacific,375.8186,0.2869565,0.2869565,-3617,ruber,G. ruber,24.848,6,RV Horizon,6269
3258,26/08/1889,-15.15,-176.49,77134.36,11.2533,343.5374,5465632,-15.65,-179.0625,1,Pacific,308.0549,0,0,-2519,obliquiloculata,P. obliquiloculata,29.3,8,HMS Egeria,6632
3049,05/12/1960,-16.35,66.11667,111874.1,11.62513,400.4988,5465613,-16.41667,66.03333,1,Indian,316.6698,0.03597122,0.03597122,-2810,obliquiloculata,P. obliquiloculata,26.539,6,RV Argo,6613
3152,16/04/1891,-26.96667,111.3333,145029.6,11.88469,472.7106,5465623,-26.93667,111.1817,18,Indian,364.3273,0.0123507,0.01659292,-3350,obliquiloculata,P. obliquiloculata,22.57,13,HMS Penguin,6623
2997,15/02/1958,-9.883333,-110.6833,151253.4,11.92671,454.8782,5465605,-9.88333,-110.6833,6,Pacific,438.3642,0.06092783,0.05914718,-2712,obliquiloculata,P. obliquiloculata,24.774,6,RV Spencer F. Baird,6605
2013,31/10/1957,5.433,-131.316,77839.94,11.26241,363.1848,5465270,5.43333,-131.3167,7,Pacific,555.1537,0,0.06060606,-3415,ruber,G. ruber,27.434,14,RV Spencer F. Baird,6270
3261,26/08/1889,-15.15,-176.49,145462.3,11.88767,445.8103,5465632,-15.65,-179.0625,1,Pacific,308.0549,0,0,-2519,obliquiloculata,P. obliquiloculata,29.3,8,HMS Egeria,6632
3065,31/10/1887,-20.58,63.533,105384.1,11.56537,385.2848,5465615,-19.56667,64.63333,4,Indian,276.6555,0.01152213,0,-2708,obliquiloculata,P. obliquiloculata,27.025,10,HMS Egeria,6615
3155,16/04/1891,-26.96667,111.3333,194207.1,12.17668,533.5051,5465623,-26.93667,111.1817,18,Indian,364.3273,0.0123507,0.01659292,-3350,obliquiloculata,P. obliquiloculata,22.57,13,HMS Penguin,6623
2998,15/02/1958,-9.883333,-110.6833,163807.3,12.00645,475.8544,5465605,-9.88333,-110.6833,6,Pacific,438.3642,0.06092783,0.05914718,-2712,obliquiloculata,P. obliquiloculata,24.774,6,RV Spencer F. Baird,6605
2014,31/10/1957,5.433,-131.316,88310.46,11.38861,373.4143,5465270,5.43333,-131.3167,7,Pacific,555.1537,0,0.06060606,-3415,ruber,G. ruber,27.434,14,RV Spencer F. Baird,6270
3263,26/08/1889,-15.15,-176.49,215208.1,12.27936,550.3147,5465632,-15.65,-179.0625,1,Pacific,308.0549,0,0,-2519,obliquiloculata,P. obliquiloculata,29.3,8,HMS Egeria,6632
3072,31/07/2005,-12.3,64.73333,209776.4,12.2538,533.8107,5465616,-12.11667,64.125,5,Indian,410.9045,0.0623053,0.09281437,-3322,obliquiloculata,P. obliquiloculata,27.745,11,HMS Sealark,6616
3166,22/11/2006,20.15,69.43333,168160.6,12.03267,500.8789,5465625,20.44222,68.84028,17,Indian,1128.446,0.02649007,0.02208202,-2680,obliquiloculata,P. obliquiloculata,25.52,10,HMIMS Investigator,6625
2002,31/01/1953,-13.9,-125.35,75982.81,11.23826,360.6467,5465268,-13.09167,-124.28,2,Pacific,400.7639,0.2823533,0.3216958,-3456,ruber,G. ruber,25.12,7,RV Horizon,6268
2026,23/11/1957,-28.56667,-143.6667,74285.42,11.21567,331.417,5465272,-26.31667,-147.1167,1,Pacific,146.0346,0.3473389,0.3473389,-2312,ruber,G. ruber,21.626,14,RV Spencer F. Baird,6272
3267,03/05/1959,-9.75,-34.4,121632.4,11.70876,437.3081,5465640,-9.75,-34.4,4,Atlantic,334.4671,0,0,-4123,obliquiloculata,P. obliquiloculata,27.052,7,RV Vema,6640
3076,31/07/2005,-12.3,64.73333,228174.7,12.33787,570.18,5465616,-12.11667,64.125,5,Indian,410.9045,0.0623053,0.09281437,-3322,obliquiloculata,P. obliquiloculata,27.745,11,HMS Sealark,6616
3167,22/11/2006,20.15,69.43333,218443.1,12.29428,560.074,5465625,20.44222,68.84028,17,Indian,1128.446,0.02649007,0.02208202,-2680,obliquiloculata,P. obliquiloculata,25.52,10,HMIMS Investigator,6625
2027,23/11/1957,-28.56667,-143.6667,75829.71,11.23625,336.0444,5465272,-26.31667,-147.1167,1,Pacific,146.0346,0.3473389,0.3473389,-2312,ruber,G. ruber,21.626,14,RV Spencer F. Baird,6272
2028,23/11/1957,-28.56667,-143.6667,72747.8,11.19475,338.0194,5465272,-26.31667,-147.1167,1,Pacific,146.0346,0.3473389,0.3473389,-2312,ruber,G. ruber,21.626,14,RV Spencer F. Baird,6272
3268,03/05/1959,-9.75,-34.4,132142.9,11.79164,461.5028,5465640,-9.75,-34.4,4,Atlantic,334.4671,0,0,-4123,obliquiloculata,P. obliquiloculata,27.052,7,RV Vema,6640
3081,31/07/2005,-12.3,64.73333,346991.5,12.75706,695.2131,5465616,-12.11667,64.125,5,Indian,410.9045,0.0623053,0.09281437,-3322,obliquiloculata,P. obliquiloculata,27.745,11,HMS Sealark,6616
3168,22/11/2006,20.15,69.43333,248576.6,12.42351,586.9032,5465625,20.44222,68.84028,17,Indian,1128.446,0.02649007,0.02208202,-2680,obliquiloculata,P. obliquiloculata,25.52,10,HMIMS Investigator,6625
2031,23/11/1957,-28.56667,-143.6667,84589.53,11.34557,360.7943,5465272,-26.31667,-147.1167,1,Pacific,146.0346,0.3473389,0.3473389,-2312,ruber,G. ruber,21.626,14,RV Spencer F. Baird,6272
2030,23/11/1957,-28.56667,-143.6667,87984.3,11.38491,360.2866,5465272,-26.31667,-147.1167,1,Pacific,146.0346,0.3473389,0.3473389,-2312,ruber,G. ruber,21.626,14,RV Spencer F. Baird,6272
3271,03/05/1959,-9.75,-34.4,192989,12.17039,520.4315,5465640,-9.75,-34.4,4,Atlantic,334.4671,0,0,-4123,obliquiloculata,P. obliquiloculata,27.052,7,RV Vema,6640
3085,01/04/1894,7.033333,73.4,147186.3,11.89945,465.6882,5465617,7.08333,73.80417,13,Indian,730.6801,0.03786192,0.03786192,-2658,obliquiloculata,P. obliquiloculata,28.5,5,HMS Egeria,6617
3170,22/11/2006,20.15,69.43333,244769.1,12.40807,596.5605,5465625,20.44222,68.84028,17,Indian,1128.446,0.02649007,0.02208202,-2680,obliquiloculata,P. obliquiloculata,25.52,10,HMIMS Investigator,6625
2032,23/11/1957,-28.56667,-143.6667,82419.54,11.31958,361.8352,5465272,-26.31667,-147.1167,1,Pacific,146.0346,0.3473389,0.3473389,-2312,ruber,G. ruber,21.626,14,RV Spencer F. Baird,6272
2036,23/11/1957,-28.56667,-143.6667,89595.14,11.40306,384.0389,5465272,-26.31667,-147.1167,1,Pacific,146.0346,0.3473389,0.3473389,-2312,ruber,G. ruber,21.626,14,RV Spencer F. Baird,6272
3272,03/05/1959,-9.75,-34.4,219827.6,12.3006,548.1878,5465640,-9.75,-34.4,4,Atlantic,334.4671,0,0,-4123,obliquiloculata,P. obliquiloculata,27.052,7,RV Vema,6640
3086,01/04/1894,7.033333,73.4,154754.6,11.9496,495.6354,5465617,7.08333,73.80417,13,Indian,730.6801,0.03786192,0.03786192,-2658,obliquiloculata,P. obliquiloculata,28.5,5,HMS Egeria,6617
3171,22/11/2006,20.15,69.43333,258774.2,12.46371,617.6123,5465625,20.44222,68.84028,17,Indian,1128.446,0.02649007,0.02208202,-2680,obliquiloculata,P. obliquiloculata,25.52,10,HMIMS Investigator,6625
3006,02/02/1953,-14,-119.6,225012.9,12.32391,568.871,5465606,-15.21833,-117.5067,1,Pacific,348.018,0.0115942,0.0115942,-3641,obliquiloculata,P. obliquiloculata,24.259,6,RV Horizon,6606
2041,23/01/1958,-18,-79.15,61731.45,11.03055,311.9667,5465273,-18.33333,-79.34167,4,Pacific,349.5302,0.06056379,0.06306306,-3157,ruber,G. ruber,19.948,6,RV Spencer F. Baird,6273
3274,NA,29.76667,-76.8,91372.4,11.4227,363.1848,5465644,28.4,-77.93333,3,Atlantic,332.9834,0.016,0.01863354,-1004,obliquiloculata,P. obliquiloculata,25.25,8,RV Vema,6644
3088,12/11/2005,-2.833333,67.71667,142979.5,11.87046,437.9621,5465618,-2.70167,67.38333,4,Indian,485.1099,0.04431225,0.02954546,-3594,obliquiloculata,P. obliquiloculata,29.326,12,HMS Sealark,6618
3174,07/06/1956,-27.37,168.59,128548.4,11.76406,428.1401,5465626,-28.88333,170,3,Pacific,302.4433,0.004065041,0.004065041,-3021,obliquiloculata,P. obliquiloculata,23.193,12,F.N.Z.R.A.,6626
3007,02/02/1953,-14,-119.6,270389.6,12.50762,648.643,5465606,-15.21833,-117.5067,1,Pacific,348.018,0.0115942,0.0115942,-3641,obliquiloculata,P. obliquiloculata,24.259,6,RV Horizon,6606
2042,23/01/1958,-18,-79.15,57012.07,10.95102,312.0094,5465273,-18.33333,-79.34167,4,Pacific,349.5302,0.06056379,0.06306306,-3157,ruber,G. ruber,19.948,6,RV Spencer F. Baird,6273
3278,NA,29.76667,-76.8,152837.6,11.93713,466.7162,5465644,28.4,-77.93333,3,Atlantic,332.9834,0.016,0.01863354,-1004,obliquiloculata,P. obliquiloculata,25.25,8,RV Vema,6644
3091,12/11/2005,-2.833333,67.71667,138885.8,11.84141,458.2315,5465618,-2.70167,67.38333,4,Indian,485.1099,0.04431225,0.02954546,-3594,obliquiloculata,P. obliquiloculata,29.326,12,HMS Sealark,6618
3180,07/06/1956,-27.37,168.59,205356.6,12.2325,540.9947,5465626,-28.88333,170,3,Pacific,302.4433,0.004065041,0.004065041,-3021,obliquiloculata,P. obliquiloculata,23.193,12,F.N.Z.R.A.,6626
3013,31/01/1953,-13.9,-125.35,173099.7,12.06162,480.6562,5465608,-13.09167,-124.28,2,Pacific,400.7639,0.03307055,0.02743142,-3456,obliquiloculata,P. obliquiloculata,25.12,10,RV Horizon,6608
